PSP:ON_PROT_INTERACT,count
TAK1,3
ALDH1A1,3
RNF8,3
KIF5B,3
ICAM1,3
ER-beta,3
ORAI1,3
IkB-alpha,3
TLR4,3
NPL4,3
p21Cip1,3
EGLN1,3
PRKD1,3
TUBA1B,3
AMPKA2,3
GINS4,3
POLR1B,3
Survivin,2
DNMT3A,2
TIRAP,2
PKCI,2
CDH5,2
WIPF1,2
ITK,2
MYO18A,2
NRP1,2
SIP1,2
STEP,2
KIF1A,2
GEMIN8,2
PRDM16,2
BCDIN3,2
ARIH1,2
PR,2
TCEB1,2
RAB10,2
STAT6,2
DDB2,2
CCNA2,2
TIF1B,2
FAT10,2
GGA1,2
MYO5A,2
KIF2A,2
Chk1,2
IRE1,2
HSBP1,2
DACH1,2
G-alpha i1,2
EXOC8,2
P70S6KB,2
AKAP6,2
RhoGDI beta,2
SLC34A1,2
PARD6G,2
ARHGEF17,2
TIF1A,2
ATPIF1,2
TAF12,2
STXBP1,2
CRLS1,2
NMDAR1,2
CHMP7,2
GCN5,2
NuMA-1,2
DYN2,2
CDC27,2
KIFC1,2
CTNNG,2
GIPC1,2
SOCS2,2
Vinculin,2
eIF3-alpha,2
ELF3,2
HJURP,2
RAPGEF1,2
TFB1M,2
MCPH1,2
AML3,2
FBXO42,2
HERC5,2
LEMD2,2
PKR,2
MYO3A,2
UBE4B,2
CA2,2
HIF2A,2
MED1,2
MPC1,2
IP3R2,2
Cas-L,2
RBBP7,2
TBN,2
XIAP,2
FGF13,2
RASSF1,2
WDR23,2
RPL11,2
FBXL20,2
LAMP1,2
IRAK4,2
APCS,2
ACTG1,2
Arp3,2
CCNE1,2
HDAC6,2
GKAP1,2
PI4K2A,2
RAE1,2
KPNA3,2
NLRP3,2
CEACAM1,2
caveolin-1,2
hnRNP A1,2
coronin 2A,2
RFA2,2
PKN2,2
NCBP1,2
G-alpha i2,2
NEDD1,2
USP13,2
GAB2,2
PPP1R2,2
RPL22,2
ETEA,2
STX3,2
RAI17,2
Brk,2
Diaphanous-1,2
BMI1,2
EFTUD2,2
PRP4,2
KLF1,2
RAB8A,2
E7,2
BUB1,2
Elf-2,2
NDR2,2
ANXA2,2
CAMK2A,2
FAM105B,2
CCZ1,2
FOG1,2
LC3C,2
POLRMT,2
HERC2,2
PAG,2
AKAP7,2
EEF1E1,2
SLC25A5,2
EHMT2,2
EIF4B,2
CD3Z,2
GTF2F2,2
CBY1,2
MC1R,2
NKCC2,2
ENaC-beta,2
NHE3,2
SFI1,2
RECK,2
DAZ1,2
DDEFL1,2
PPAR-alpha,2
BET1,2
APPL,2
PIK3R3,2
STMN1,2
CCDC32,2
SHPS1,2
HIF1AN,2
ASH2L,2
Mnk1,2
CDC23,2
APC1,2
PLM,2
PELI1,2
TNNI1,2
