Combined:Interactions,count
ABCE1->INDUCES,196
TAF10->INDUCES,196
OGT->INDUCES,196
GHR->INDUCES,196
IVL->INDUCES,196
NUMB->INDUCES,195
EIF4EBP1->INDUCES,195
STRIP1->INDUCES,195
USP28->INDUCES,194
ATF2->INDUCES,194
NAT10->INDUCES,193
NDC80->INDUCES,193
TXNL4A->INDUCES,192
MAPKAP1->INDUCES,192
EPHB2->INDUCES,191
KEAP1->INDUCES,191
RAD9A->INDUCES,189
BCL10->INDUCES,189
ADD1->INDUCES,189
COL1A1->INDUCES,189
CHEK1->REGULATES,188
H2BC12L->INDUCES,188
ANAPC5->INDUCES,188
CAMK2B->INDUCES,188
SUPT4H1->INDUCES,187
USP39->INDUCES,187
SDCBP->INDUCES,187
YTHDC1->INDUCES,186
RHOG->INDUCES,186
EIF3E->INDUCES,186
ANAPC4->INDUCES,186
HSPB1->INDUCES,185
SAP18->INDUCES,185
MECP2->INDUCES,185
CCT5->INDUCES,185
EFTUD2->INDUCES,184
XPO5->INDUCES,184
MBD3->INDUCES,184
PER2->INDUCES,184
TOPBP1->INDUCES,183
POLR3A->INDUCES,183
RPL23A->INDUCES,182
SET->INDUCES,182
CDC73->INDUCES,182
TSG101->INDUCES,182
EIF3C->INDUCES,182
MAP3K3->INDUCES,182
CCNB2->INDUCES,182
APEX1->INDUCES,182
ORC6->INDUCES,182
ARF6->INDUCES,181
FYN->REGULATES,180
BIRC5->INDUCES,180
COPS6->INDUCES,180
CD2BP2->INDUCES,180
MAP2K7->INDUCES,179
SHC3->INDUCES,179
AP2A2->INDUCES,179
UBA2->INDUCES,178
CDK5R1->INDUCES,178
ANAPC7->INDUCES,178
TCERG1->INDUCES,177
CD82->INDUCES,176
BIRC2->INDUCES,176
TRRAP->INDUCES,176
PSMB6->INDUCES,176
NUP107->INDUCES,176
CD3E->INDUCES,176
CALR->INDUCES,175
DEPTOR->INDUCES,175
PIK3CG->INDUCES,175
DSG1->INDUCES,175
BMAL1->INDUCES,175
DES->INDUCES,174
MST1R->INDUCES,174
ZW10->INDUCES,174
RASSF1->INDUCES,173
AURKB->REGULATES,173
RNF2->INDUCES,173
SNAP23->INDUCES,173
CDK6->INDUCES,173
TRIM28->INDUCES,172
MED30->INDUCES,172
KIFAP3->INDUCES,172
MAP4K1->INDUCES,172
CHD4->INDUCES,172
CDC45->INDUCES,171
G6PD->INDUCES,171
MED18->INDUCES,171
RALA->INDUCES,171
SIK2->INDUCES,170
RTF1->INDUCES,170
MAPK8->REGULATES,170
CCNH->INDUCES,170
AMPH->INDUCES,170
RIN1->INDUCES,170
PHB1->INDUCES,168
POLD1->INDUCES,168
ESRRA->INDUCES,167
NME1->INDUCES,167
NTRK2->INDUCES,167
EFNB1->INDUCES,166
BRIX1->INDUCES,166
STAMBP->INDUCES,166
CCNE1->INDUCES,165
KAT7->INDUCES,165
SENP2->INDUCES,165
RAD23B->INDUCES,165
AKT2->INDUCES,165
CCT6A->INDUCES,164
COPB2->INDUCES,164
WDR48->INDUCES,164
TLN1->INDUCES,164
RHEB->INDUCES,164
NONO->INDUCES,164
PRKAA1->REGULATES,164
ITGA2B->INDUCES,163
PDCD10->INDUCES,163
PDZD2->INDUCES,163
AP1G1->INDUCES,162
PRKCD->REGULATES,162
SMARCD3->INDUCES,162
USP3->INDUCES,162
MED24->INDUCES,162
MAPK7->INDUCES,161
RRAS2->INDUCES,161
LIMK1->INDUCES,161
ANXA1->INDUCES,161
MED31->INDUCES,161
L1CAM->INDUCES,161
ING4->INDUCES,160
IGF2R->INDUCES,160
CYLD->INDUCES,160
BAZ1B->INDUCES,160
PKP4->INDUCES,159
PA2G4->INDUCES,159
SHANK1->INDUCES,159
NDE1->INDUCES,159
ATP5F1B->INDUCES,159
SMAD7->INDUCES,159
DYRK1A->INDUCES,158
PSMD5->INDUCES,158
KRIT1->INDUCES,158
PPP2R2B->INDUCES,158
PRKCG->INDUCES,158
CCT4->INDUCES,157
KIF23->INDUCES,157
NUTF2->INDUCES,156
FASLG->INDUCES,156
TGFBR2->INDUCES,155
MMP2->INDUCES,155
SORBS3->INDUCES,155
PIK3C2A->INDUCES,155
PSMB3->INDUCES,155
EIF4A1->INDUCES,155
NR5A1->INDUCES,154
CDK4->INDUCES,153
MAPK8IP2->INDUCES,153
GRIA1->INDUCES,153
DOK2->INDUCES,153
XPC->INDUCES,152
POLR2F->INDUCES,152
NUP133->INDUCES,152
CEP43->INDUCES,152
ZYX->INDUCES,151
JUNB->INDUCES,151
COIL->INDUCES,151
MRTO4->INDUCES,151
MAP3K11->INDUCES,151
RUNX1->INDUCES,151
ZBTB16->INDUCES,150
MSX2->INDUCES,150
EIF3D->INDUCES,150
ERRFI1->INDUCES,150
RPL36A->INDUCES,149
ANAPC1->INDUCES,149
DDX20->INDUCES,149
CTBP2->INDUCES,149
MAP3K4->INDUCES,148
MAP3K8->INDUCES,148
PGK1->INDUCES,148
TRAF3->INDUCES,148
PPP2R2C->INDUCES,148
PRKDC->REGULATES,148
MED21->INDUCES,148
ATN1->INDUCES,147
EIF1->INDUCES,147
AKT1S1->INDUCES,147
ITGA3->INDUCES,147
ASF1B->INDUCES,147
MTOR->REGULATES,147
NRIP1->INDUCES,147
MAP2K5->INDUCES,147
NCKAP1->INDUCES,146
IQGAP2->INDUCES,146
SNRPB2->INDUCES,146
ORC5->INDUCES,145
ERCC2->INDUCES,145
VAMP1->INDUCES,145
HIC1->INDUCES,145
PEBP1->INDUCES,145
PCBP2->INDUCES,145
LAT2->INDUCES,145
ICAM3->INDUCES,145
GIPC1->INDUCES,145
MAPKAPK5->INDUCES,145
POLA1->INDUCES,145
EIF2S2->INDUCES,144
GTF2E2->INDUCES,144
MED13->INDUCES,144
S100A6->INDUCES,144
UBASH3A->INDUCES,144
ASAP2->INDUCES,144
SRSF3->INDUCES,144
MAPKAPK2->INDUCES,144
DYNLT1->INDUCES,143
CD5->INDUCES,143
STX5->INDUCES,143
RAD17->INDUCES,143
CSNK1A1->REGULATES,143
NOLC1->INDUCES,143
HIPK2->INDUCES,143
CNOT6->INDUCES,143
ORC3->INDUCES,143
CCT7->INDUCES,143
PACS1->INDUCES,143
CD36->INDUCES,142
HNRNPA2B1->INDUCES,142
SRSF4->INDUCES,142
SPRY2->INDUCES,142
POLD2->INDUCES,142
CDK5->REGULATES,142
EVPL->INDUCES,142
CAMK2A->REGULATES,141
CYTH2->INDUCES,141
CNOT6L->INDUCES,141
UTP15->INDUCES,141
CTR9->INDUCES,141
NDN->INDUCES,140
COL1A2->INDUCES,140
RRP9->INDUCES,140
PRPF40A->INDUCES,140
CFL1->INDUCES,139
WIPF1->INDUCES,139
TNKS2->INDUCES,138
CLOCK->INDUCES,138
CDH4->INDUCES,138
CXCR4->INDUCES,138
CCT8->INDUCES,137
DBF4->INDUCES,137
CRTC2->INDUCES,137
DCTN2->INDUCES,137
PIK3C3->INDUCES,136
RIPK2->INDUCES,136
HNF1A->INDUCES,136
SAE1->INDUCES,136
WASF2->INDUCES,136
APOE->INDUCES,136
AHRR->INDUCES,136
MAPK8IP1->INDUCES,135
WRNIP1->INDUCES,135
CRY1->INDUCES,135
IFNAR2->INDUCES,135
ANKHD1->INDUCES,135
LRP6->INDUCES,134
TERF2IP->INDUCES,134
DBNL->INDUCES,134
MAP2K3->INDUCES,134
MED6->INDUCES,134
TRAT1->INDUCES,134
SF3A3->INDUCES,133
AURKA->REGULATES,133
MPHOSPH10->INDUCES,133
PKN1->INDUCES,133
MPRIP->INDUCES,133
RNF11->INDUCES,133
TOM1->INDUCES,132
PPP1R12A->INDUCES,132
MAPRE2->INDUCES,132
ZBTB17->INDUCES,131
ROCK2->INDUCES,131
PLSCR1->INDUCES,131
PER1->INDUCES,131
UBASH3B->INDUCES,131
ATF4->INDUCES,131
PICK1->INDUCES,131
SPTA1->INDUCES,131
FANCM->INDUCES,131
DNMT1->UNCLEAR,131
SORBS2->INDUCES,131
ILF3->INDUCES,130
ARAF->INDUCES,130
CDC40->INDUCES,130
POLR2I->INDUCES,130
XRN1->INDUCES,130
SMC2->INDUCES,130
MAP3K2->INDUCES,130
MAP3K10->INDUCES,130
CYCS->INDUCES,130
CD2->INDUCES,129
IKZF3->INDUCES,129
RPL21->INDUCES,129
LYN->REGULATES,129
SFPQ->INDUCES,129
POLE3->INDUCES,129
RBBP8->INDUCES,129
BIN1->INDUCES,128
ORC4->INDUCES,128
CLTA->INDUCES,128
POLR2E->INDUCES,128
BIRC3->INDUCES,128
PER3->INDUCES,128
NEK9->INDUCES,127
MEPCE->INDUCES,127
USF1->INDUCES,127
CRY2->INDUCES,127
STAT6->INDUCES,127
ESR1->INDUCES,127
USP15->INDUCES,126
PHIP->INDUCES,126
FURIN->INDUCES,126
CD28->INDUCES,126
ARNT->INDUCES,126
GTF2E1->INDUCES,126
HAUS1->INDUCES,126
ATXN3->INDUCES,125
SPART->INDUCES,125
CTTNBP2NL->INDUCES,125
ELK1->INDUCES,125
CFLAR->INDUCES,124
RPS6KB2->INDUCES,124
AP3S1->INDUCES,124
CENPA->INDUCES,124
GPSM2->INDUCES,124
PCBP1->INDUCES,124
HIP1->INDUCES,124
GRAP->INDUCES,124
SETD1A->INDUCES,124
POLR2G->INDUCES,124
TXN->INDUCES,124
RAC2->INDUCES,123
NSUN2->INDUCES,123
PTPRM->INDUCES,123
RABEP1->INDUCES,123
SLMAP->INDUCES,123
SNX2->INDUCES,123
ARID3A->INDUCES,123
RGS16->INDUCES,123
NR1I3->INDUCES,122
ANAPC16->INDUCES,122
TTK->INDUCES,122
HSPA9->INDUCES,122
AKAP8L->INDUCES,122
VHL->INDUCES,122
ZNF148->INDUCES,122
PROCR->INDUCES,122
KLF1->INDUCES,122
RALBP1->INDUCES,122
MED20->INDUCES,121
DSN1->INDUCES,121
RING1->INDUCES,121
TUBG1->INDUCES,121
AP1G2->INDUCES,121
KIF5B->INDUCES,121
LAMA5->INDUCES,121
TCHP->INDUCES,121
SREBF1->INDUCES,121
CUL4B->INDUCES,121
THBS1->INDUCES,121
TUFM->INDUCES,120
XPA->INDUCES,120
NUP93->INDUCES,120
GTPBP4->INDUCES,120
CPSF3->INDUCES,120
ATR->REGULATES,120
XRCC1->INDUCES,120
FANCA->INDUCES,120
CEACAM1->INDUCES,120
TAB2->INDUCES,120
CUL3->INDUCES,119
CTDP1->INDUCES,119
NDUFAB1->INDUCES,119
DNAJB6->INDUCES,119
DIABLO->INDUCES,119
TRIM21->INDUCES,119
UBE2N->INDUCES,119
NFYA->INDUCES,119
PRKCB->REGULATES,119
EFNA1->INDUCES,119
AHR->INDUCES,118
LAMA1->INDUCES,118
DICER1->INDUCES,118
FOXO4->INDUCES,118
ADAM17->INDUCES,118
CASP7->INDUCES,118
AP2S1->INDUCES,118
NUP43->INDUCES,118
LCK->REGULATES,118
GOPC->INDUCES,117
STX6->INDUCES,117
APOA1->INDUCES,117
WWP1->INDUCES,117
ITGB5->INDUCES,116
CLSPN->INDUCES,116
BMX->INDUCES,116
TNC->INDUCES,115
CD79A->INDUCES,115
TOB1->INDUCES,115
STIP1->INDUCES,115
CARD11->INDUCES,115
TGFB1->INDUCES,114
PTPRZ1->INDUCES,114
BABAM1->INDUCES,114
NPHS2->INDUCES,114
MED8->INDUCES,114
PSIP1->INDUCES,114
USP4->INDUCES,114
FASN->INDUCES,113
EGFR->REGULATES,113
RPF2->INDUCES,113
TNFAIP3->INDUCES,113
TFAP2A->INDUCES,113
EIF5A->INDUCES,113
CENPE->INDUCES,113
PRKAA1->INDUCES,113
ERCC1->INDUCES,113
MEF2A->INDUCES,112
RB1->UNCLEAR,112
TARBP2->INDUCES,112
ETF1->INDUCES,112
RPS21->INDUCES,112
PLCB1->INDUCES,112
EPHA4->INDUCES,112
CSF2RB->INDUCES,112
NFKB2->INDUCES,112
SNAPIN->INDUCES,112
DPYSL2->INDUCES,111
TDG->INDUCES,111
S100A11->INDUCES,111
BRCC3->INDUCES,111
DSG2->INDUCES,111
TRAF4->INDUCES,111
PLEKHA7->INDUCES,111
F8->INDUCES,111
OXSR1->INDUCES,110
CENPF->INDUCES,110
GATA6->INDUCES,110
TRIP6->INDUCES,110
PLA2G4A->INDUCES,110
CABIN1->INDUCES,110
RBBP7->INDUCES,110
IL6R->INDUCES,110
SNAP29->INDUCES,110
EVI5->INDUCES,110
HCLS1->INDUCES,110
GATA3->INDUCES,110
UBXN1->INDUCES,110
